,title,year,country,style,rating_num,evaluate_num,quote,href
171,九品芝麻官,1994,中国香港 中国大陆,剧情 喜剧 古装,8.7,576349,,https://movie.douban.com/subject/1297518/
172,岁月神偷,2010,中国香港 中国大陆,剧情 家庭,8.7,533891,岁月流逝，来日可追。,https://movie.douban.com/subject/3792799/
173,海街日记,2015,日本,剧情 家庭,8.8,391095,是枝裕和的家庭习作。,https://movie.douban.com/subject/25895901/
174,记忆碎片,2000,美国,犯罪 剧情 悬疑 惊悚,8.7,548687,一个针管引发的血案。,https://movie.douban.com/subject/1304447/
175,忠犬八公物语,1987,日本,剧情,9.2,172676,养狗三日，便会对你终其一生。,https://movie.douban.com/subject/1959195/
176,荒蛮故事,2014,阿根廷 西班牙,剧情 喜剧 犯罪,8.8,394843,始于荒诞，止于更荒诞。,https://movie.douban.com/subject/24750126/
177,绿里奇迹,1999,美国,犯罪 剧情 奇幻 悬疑,8.9,283587,天使暂时离开。,https://movie.douban.com/subject/1300374/
178,爱在午夜降临前,2013,美国 希腊,剧情 爱情,8.8,338703,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,https://movie.douban.com/subject/10808442/
179,爆裂鼓手,2014,美国,剧情 音乐,8.7,515015,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,https://movie.douban.com/subject/25773932/
180,贫民窟的百万富翁,2008,英国,剧情 爱情,8.6,681538,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,https://movie.douban.com/subject/2209573/
181,真爱至上,2003,英国 美国 法国,喜剧 剧情 爱情,8.6,662382,爱，是个动词。,https://movie.douban.com/subject/1292401/
182,小偷家族,2018,日本,剧情 犯罪 家庭,8.7,743919,我们组成了家。,https://movie.douban.com/subject/27622447/
183,东邪西毒,1994,中国香港 中国台湾,剧情 动作 爱情 武侠 古装,8.6,525282,电影诗。,https://movie.douban.com/subject/1292328/
184,无敌破坏王,2012,美国,喜剧 动画 奇幻 冒险,8.7,479380,迪士尼和皮克斯拿错剧本的产物。,https://movie.douban.com/subject/6534248/
185,色，戒,2007,中国台湾 中国大陆 美国 中国香港,剧情 爱情 情色,8.6,661163,假戏真情，爱欲深海,https://movie.douban.com/subject/1828115/
186,疯狂的石头,2006,中国大陆 中国香港,喜剧 犯罪,8.5,729816,中国版《两杆大烟枪》。,https://movie.douban.com/subject/1862151/
187,冰川时代,2002,美国,喜剧 动画 冒险,8.6,555104,松鼠才是角儿。,https://movie.douban.com/subject/1291578/
188,黑天鹅,2010,美国,剧情 惊悚,8.6,726860,黑暗之美。,https://movie.douban.com/subject/1978709/
189,你看起来好像很好吃,2010,日本,剧情 动画 儿童,8.9,300257,感情不分食草或者食肉。,https://movie.douban.com/subject/4848115/
190,恐怖游轮,2009,英国 澳大利亚,剧情 悬疑 惊悚,8.5,745046,不要企图在重复中寻找已经失去的爱。,https://movie.douban.com/subject/3011051/
191,雨中曲,1952,美国,喜剧 歌舞 爱情,9.1,191439,骨灰级歌舞片。,https://movie.douban.com/subject/1293460/
192,雨人,1988,美国,剧情,8.7,367220,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,https://movie.douban.com/subject/1291870/
193,恋恋笔记本,2004,美国,剧情 爱情,8.6,597685,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,https://movie.douban.com/subject/1309163/
194,2001太空漫游,1968,英国 美国,科幻 惊悚 冒险,8.9,275541,现代科幻电影的开山之作，最伟大导演的最伟大影片。,https://movie.douban.com/subject/1292226/
195,魔女宅急便,1989,日本,动画 奇幻 冒险,8.7,409832,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,https://movie.douban.com/subject/1307811/
196,萤火虫之墓,1988,日本,动画 剧情 战争,8.7,375355,幸福是生生不息，却难以触及的远。 ,https://movie.douban.com/subject/1293318/
197,城市之光,1931,美国,喜剧 剧情 爱情,9.3,126001,永远的小人物，伟大的卓别林。,https://movie.douban.com/subject/1293908/
198,可可西里,2004,中国大陆 中国香港,剧情 犯罪,8.8,268624,坚硬的信仰。,https://movie.douban.com/subject/1308857/
199,遗愿清单,2007,美国,冒险 喜剧 剧情,8.7,385360,用剩余不多的时间，去燃烧整个生命。,https://movie.douban.com/subject/1867345/
200,大佛普拉斯,2017,中国台湾,剧情 喜剧,8.7,388229,人们可以登上月球，却永远无法探索人们内心的宇宙。,https://movie.douban.com/subject/27059130/
201,虎口脱险,1966,法国 英国,喜剧 战争,8.9,223976,永远看不腻的喜剧。,https://movie.douban.com/subject/1296909/
202,人工智能,2001,美国 英国,剧情 科幻,8.7,397186,对爱的执着，可以超越一切。,https://movie.douban.com/subject/1302827/
203,茶馆,1982(中国大陆),中国大陆,剧情 历史,9.5,96105,,https://movie.douban.com/subject/1461403/
204,牯岭街少年杀人事件,1991,中国台湾,剧情 犯罪,8.9,247715,弱者送给弱者的一刀。,https://movie.douban.com/subject/1292329/
205,初恋这件小事,2010,泰国,剧情 喜剧 爱情,8.5,907080,黑小鸭速效美白记。,https://movie.douban.com/subject/4739952/
206,无间道2,2003,中国香港,剧情 犯罪 惊悚,8.7,402210,,https://movie.douban.com/subject/1307106/
207,源代码,2011,美国 加拿大,科幻 悬疑 惊悚,8.5,756130,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,https://movie.douban.com/subject/3075287/
208,海边的曼彻斯特,2016,美国,剧情 家庭,8.6,446847,我们都有权利不与自己的过去和解。,https://movie.douban.com/subject/25980443/
209,罗生门,1950,日本,剧情 犯罪 悬疑,8.8,278876,人生的N种可能性。,https://movie.douban.com/subject/1291879/
210,东京教父,2003,日本,剧情 喜剧 动画,9.0,181324,,https://movie.douban.com/subject/1310177/
211,终结者2：审判日,1991,美国 法国,动作 科幻,8.8,308843,少见的超越首部的续集，动作片中的经典。,https://movie.douban.com/subject/1291844/
